ethereum_address,contributor_id,impact_percentage
0x0000000000000000000000000000000000000000,4,0.0
0x0000000000000000000000000000000000000000,5,0.0
0x0000000000000000000000000000000000000000,11,0.0
0x0000000000000000000000000000000000000000,52,0.0
0x0000000000000000000000000000000000000000,76,0.0
0x0000000000000000000000000000000000000000,78,0.0
0x0000000000000000000000000000000000000000,80,0.0
0x0000000000000000000000000000000000000000,113,0.0
0x0000000000000000000000000000000000000000,180,0.0
0x0000000000000000000000000000000000000000,124,0.0
0x0000000000000000000000000000000000000000,152,0.0
0x0000000000000000000000000000000000000000,169,82.04225352112677
0x0000000000000000000000000000000000000000,173,0.0
0x0000000000000000000000000000000000000000,174,0.0
0x0000000000000000000000000000000000000000,175,0.0
0x0000000000000000000000000000000000000000,176,0.0
0x0000000000000000000000000000000000000000,177,0.0
0x0000000000000000000000000000000000000000,178,0.0
0x0000000000000000000000000000000000000000,179,0.0
0x0000000000000000000000000000000000000000,181,0.0
0x0000000000000000000000000000000000000000,182,0.0
0x0000000000000000000000000000000000000000,183,0.0
0x0000000000000000000000000000000000000000,184,0.0
0x0000000000000000000000000000000000000000,185,0.0
0x0000000000000000000000000000000000000000,186,0.0
0x0000000000000000000000000000000000000000,187,0.0
0x0000000000000000000000000000000000000000,188,0.0
0x0000000000000000000000000000000000000000,189,0.0
0x0000000000000000000000000000000000000000,190,0.0
0x0000000000000000000000000000000000000000,191,0.0
0x0000000000000000000000000000000000000000,192,0.0
0x0000000000000000000000000000000000000000,193,0.0
0x0000000000000000000000000000000000000000,194,0.0
0x0000000000000000000000000000000000000000,195,0.0
0x0000000000000000000000000000000000000000,196,0.0
0x0000000000000000000000000000000000000000,197,0.0
0x0000000000000000000000000000000000000000,198,0.0
0x0000000000000000000000000000000000000000,199,0.0
0x0000000000000000000000000000000000000000,200,0.0
0x4709ebf314c6492d57f4c6d4f57357d5b2bb074e,201,0.0
0x0000000000000000000000000000000000000000,202,0.0
0x361dd9c707325d40abfb3ec72518585fd7b76199,203,0.0
0x7eaf6289281d72f87389bf4615e52429adf849ab,204,0.0
0x1e8ee48d0621289297693fc98914da2efdce1477,205,0.0
0x824e0a1e0bee6fe60f591d9a95767411dd60edf3,206,0.0
0x9f954bcd8bc1b114dfa0296a68a4744603c8e649,207,0.704225352112676
0x0000000000000000000000000000000000000000,208,0.0
0x0000000000000000000000000000000000000000,209,0.0
0x08379a244ab375c32033578b78a1512fb25a5062,210,0.0
0xda0bc9ecd14d0346ee41085edbc46a950bebd73d,211,0.0
0x0000000000000000000000000000000000000000,212,0.0
0xe0945b7d8f1c5061857201191de442e8124b56c2,213,0.0
0x6951e11782fb77296d3666ae5a6e1b240f7c0244,214,14.43661971830986
0x0000000000000000000000000000000000000000,215,0.352112676056338
0x0000000000000000000000000000000000000000,216,0.0
0xe7576177bcfaa67bf06c75f5572fd95e62899bac,217,0.0
0xb77c19804f102312c8cf66221da8886c1bf2c431,218,0.0
0x91a394c9e0e997aa6123b8bb76a84edc7694f430,219,0.0
0x0000000000000000000000000000000000000000,220,0.0
0x34df2dfb3f98f1d78152fec765cadd77fd84f2ba,221,0.0
0xf56e5050ceaecc97572be376696cb548f697a6c8,222,0.0
0x0466468f6223e5c5f2d02533f686dc1c5f936455,223,0.0
0x44302299d9d5e2245122a698df6a2090a37773f1,224,0.0
0x6afa2cdea65bd55a47cbb459aa69aa244ca3cdc8,225,0.0
0xc835bd6d29642e687a9ac024788ff94419aa57c9,226,0.0
0x0000000000000000000000000000000000000000,227,0.352112676056338
0x0000000000000000000000000000000000000000,228,0.0
0x0000000000000000000000000000000000000000,229,0.0
0x2088bc94eee73faf12352fc2fd50f508253c8e36,230,0.0
0x0000000000000000000000000000000000000000,231,0.0
0x0000000000000000000000000000000000000000,232,0.0
0x0000000000000000000000000000000000000000,233,0.0
0xdb133b63829c927591d0847f7cde371b1d51772c,234,0.0
0x120e47109817c8d5c521cb5088566ccd94277c74,235,0.0
0x4757ea76c9e7356ab460b4373b4448e6bfb97aaf,236,0.0
0x0000000000000000000000000000000000000000,237,0.0
0x0000000000000000000000000000000000000000,238,0.0
0x0000000000000000000000000000000000000000,239,0.0
0x0000000000000000000000000000000000000000,240,0.0
0x467082758ce92b21efe75332f66d92c0e7c54d65,241,0.0
0xc2b6490597e4ceb788444fed1dadc0e10939607a,242,0.0
0xd766d89d3492df23f2b5a6df1720184c725d9f48,243,0.0
0x0000000000000000000000000000000000000000,244,0.0
0x0000000000000000000000000000000000000000,245,0.0
0x0000000000000000000000000000000000000000,246,0.0
0x5bb16ef826311a832c610bbed241c0e1f1784abd,247,1.056338028169014
0x0000000000000000000000000000000000000000,248,0.0
0x572356ffe42f4f3c237a6b1a3e1dec04baef8b20,249,0.0
0x0000000000000000000000000000000000000000,250,0.0
0x0000000000000000000000000000000000000000,251,0.0
0x0000000000000000000000000000000000000000,252,0.0
0x0000000000000000000000000000000000000000,253,0.0
0x670e29b181e32c03b12da0c644e78a11216827a2,254,0.0
0x0000000000000000000000000000000000000000,255,0.0
0x0b187278bfc6c9af997d7a8b4ac0f81b1ed4c9a9,256,0.0
0x0000000000000000000000000000000000000000,257,0.0
0x083672b8bfead44ea00b7d3d1b9100ce0ffbcc50,258,0.0
0x6321286f9b73f427c72e1f9f1bc6b3d25ef06605,259,0.0
0x12348bbd6d384574e9522d3c5ca8555038699339,260,0.0
0x0000000000000000000000000000000000000000,261,0.0
0x0000000000000000000000000000000000000000,262,0.0
0xe646f6b98439ddadee6ffb6849c35ba3076c4574,263,0.0
0xf080d5b40c370a5148a9848a869eb3aaf7d5e146,264,0.0
0x341a56496b1f1c2c12d71e01cf587755433ef1fc,265,0.0
0x3fe9e6b5349cf92fd9dbb5c8aea9e154d66778f5,266,0.0
0xd116039d282019b9a8a71ff117306d24f3f30548,267,0.0
0x784629ec6e41688f7ff1590a7c16386197c5a111,268,0.0
0x267de1c4d3017a047c5a5c19aaca46a08d6374c7,269,0.0
0x27017cf5fc54a41de8dc76e16efc5aee4ab3a1ba,270,0.0
0x0000000000000000000000000000000000000000,271,0.0
0xed5a2a1476f5d43b7bfeebc5c160c38934de1846,272,0.0
0x010106a0a7f9087408412f37c15e769352eea280,273,0.0
0x0000000000000000000000000000000000000000,274,0.0
0x0000000000000000000000000000000000000000,275,0.0
0x0000000000000000000000000000000000000000,276,0.0
0x0000000000000000000000000000000000000000,277,0.0
0x0000000000000000000000000000000000000000,278,0.0
0x0000000000000000000000000000000000000000,279,0.0
0x0000000000000000000000000000000000000000,280,0.0
0x0000000000000000000000000000000000000000,281,0.0
0x0000000000000000000000000000000000000000,282,0.0
0x0000000000000000000000000000000000000000,283,0.0
0x0000000000000000000000000000000000000000,284,0.0
0x0000000000000000000000000000000000000000,285,0.0
0x0000000000000000000000000000000000000000,286,0.0
0x0000000000000000000000000000000000000000,287,0.0
0x0000000000000000000000000000000000000000,288,0.0
0x0000000000000000000000000000000000000000,289,0.0
0x0000000000000000000000000000000000000000,290,0.0
0x0000000000000000000000000000000000000000,291,0.0
0x0000000000000000000000000000000000000000,292,0.0
0x0000000000000000000000000000000000000000,293,0.0
0x0000000000000000000000000000000000000000,294,0.0
0x0000000000000000000000000000000000000000,295,0.0
0x0000000000000000000000000000000000000000,296,0.0
0x0000000000000000000000000000000000000000,297,0.0
0x93e67f0e310055501daf14db3526d83bd6c6c70a,298,0.0
0x0000000000000000000000000000000000000000,299,0.0
0x0000000000000000000000000000000000000000,300,0.0
0x0000000000000000000000000000000000000000,301,0.0
0x0000000000000000000000000000000000000000,302,0.0
0x0000000000000000000000000000000000000000,303,0.0
0x0000000000000000000000000000000000000000,304,0.0
0xcec0e2214d43f8245c1302904c02d666fc65e6bc,305,0.0
0x0000000000000000000000000000000000000000,306,0.0
0x0000000000000000000000000000000000000000,307,0.704225352112676
0x0000000000000000000000000000000000000000,308,0.0
0x0000000000000000000000000000000000000000,309,0.0
0x8edb50ab74b9ac3f83ba4c1ceb265f43ae50f9f9,310,0.352112676056338
