ethereum_address,block_20444139,block_21951905,block_22057119,block_22337144,block_22429938,block_22707018,block_23000558,block_23210897,block_23210907,block_23432746
"0x0000000000000000000000000000000000000000000000000000000000000000",2.6,3.344,3.264,1.2799,1.0159,0.8879,0.6319,0.5999,0,0.6079
"0x0000000000000000000000001d5878059679effa13ec0dc2c894e008307050bc",42.608,43.224,42.552,0,0,0,0,0,0,0
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",0.04,5.832,6.464,0,0,0,0,0,0,0
"0x00000000000000000000000048ac1399035bcce8c7996d8c60e014b9373b3962",0.344,0.248,0,0,0,0,0,0,0,0
"0x000000000000000000000000c6ac0d6abd1bbb371db2b3ef7cbc9fc972c700a6",0.448,0.32,0.288,0,0,0,0,0,0,0
"0x000000000000000000000000ea4529d359a6aa73515cda46896b2a51d48e6d46",0.128,0,0,0,0,0,0,0,0,0
"0x000000000000000000000000ef836b1b90e42c8c69f3cef628eb10983c10e792",33.832,25.168,22.848,0,0,0,0,0,0,0
"0x00000003004a616b6557686172746f6e2f74696d626572000000000000000000",4,4,4,3.9999,3.3334,3.3333,3.3332,3.3332,0,3.3331
"0x00000003006170616368652f636f6d6d6f6e732d637376000000000000000000",4,4,4,3.9999,3.3334,3.3333,3.3332,3.3332,0,3.3331
"0x00000003006170616368652f636f6d6d6f6e732d696f00000000000000000000",4,4,4,3.9999,3.3334,3.3333,3.3332,3.3332,0,3.3331
"0x00000003006a756e69742d7465616d2f6a756e69743500000000000000000000",4,4,4.0001,4.0009,3.3334,3.3343,3.335,3.3355,0,3.3363
"0x00000003007371756172652f726574726f666974000000000000000000000000",4,4,4,3.9999,3.3334,3.3333,3.3332,3.3332,0,3.3331
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",0,1.6,3.1679,17.8959,20.9758,22.7997,19.8397,18.7996,0,18.7355
"0x000000000000000000000000c73e819cea330bc28d8ff190dc2ed676ba36fea2",0,0.264,0.24,0,0,0,0,0,0,0
"0x000000000000000000000000647ea721b4e896d1f76062713b2a0b137475bc3d",0,0,1.176,1.0959,0.8639,0.7519,0.5439,0.5119,0,0.5119
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,0,0,32.5119,28.3518,24.6957,17.7597,16.8236,0,16.7676
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,0,0,27.2159,28.7918,30.8636,41.2233,43.2631,0,43.3749
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",0,0,0,0,3.3338,3.3337,3.3337,3.3336,0,3.3335