ethereum_address,block_22194136,block_22304313,block_22335689,block_22501229,block_22703247,block_22999921,block_23210454,block_23432372,block_24263347
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",22.8,17.64,0,0,0,0,0,0,0
"0x0000000000000000000000005d388ec24cc2c0c77458338696aa63afb706a7b1",1.256,0.616,0,0,0,0,0,0,0
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",43.304,32.928,34.4,30.912,30.448,30.504,29.864,29.448,34.4156
"0x000000000000000000000000d46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0",12.64,28.816,0,0,0,0,0,0,0
"0x0000000300616a6f626572737461722f67726769740000000000000000000000",6.6,6.6,6.6,3.3,3.3,3.3,3.3,3.3,0
"0x00000003006a69747061636b2f6a69747061636b2e696f000000000000000000",6.6,6.6,6.6,3.3,3.3,3.3,3.3,3.3,0
"0x00000003006a756e69742d7465616d2f6a756e69743400000000000000000000",6.6,6.6,6.6,3.3,3.3,3.3,3.3,3.3,0
"0x0000000301ecae71c125e05714812ad423cfdc739df93da11ea69763843682fb",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,0,2.4,1.816,1.792,1.728,1.688,1.664,1.9481
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,0,43.2,47.272,47.76,47.768,48.448,48.888,63.6363
"0x0000000300736f667470726f70732f616374696f6e2d67682d72656c65617365",0,0,0,3.3,3.3,3.3,3.3,3.3,0
"0x00000003012cfc3618a884cee48b8a48fabde1681c8cc2a01527c20ca3af27bc",0,0,0,3.3,3.3,3.3,3.3,3.3,0
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",0,0,0,3.3,3.3,3.3,3.3,3.3,0