ethereum_address,block_22056767,block_22337005,block_22493987,block_22703226,block_22995989,block_23203787,block_23412070,block_23432266
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",8.304,0,0,0,0,0,0,0
"0x0000000000000000000000005d388ec24cc2c0c77458338696aa63afb706a7b1",13.56,0,0,0,0,0,0,0
"0x000000000000000000000000647ea721b4e896d1f76062713b2a0b137475bc3d",2.984,2,1.08,0.792,0.68,0.632,0.624,0
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",8.984,6,3.24,14.256,12.312,11.432,11.16,0
"0x000000000000000000000000c73e819cea330bc28d8ff190dc2ed676ba36fea2",1.072,0,0,0,0,0,0,0
"0x000000000000000000000000d46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0",45.096,0,0,0,0,0,0,0
"0x00000003006a69747061636b2f6a69747061636b2e696f000000000000000000",6.6666,6.6666,3.3333,3.3333,3.3333,3.3333,3.3333,0
"0x00000003006a756e69742d7465616d2f6a756e69743400000000000000000000",6.6666,6.6666,3.3333,3.3333,3.3333,3.3333,3.3333,0
"0x0000000301ecae71c125e05714812ad423cfdc739df93da11ea69763843682fb",6.6668,6.6668,3.3333,3.3333,3.3333,3.3333,3.3333,0
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,14,14.056,10.296,8.888,8.256,8.064,0
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,58,61.624,54.656,58.12,59.68,60.152,0
"0x0000000300736f667470726f70732f616374696f6e2d67682d72656c65617365",0,0,3.3333,3.3333,3.3333,3.3333,3.3333,0
"0x00000003012cfc3618a884cee48b8a48fabde1681c8cc2a01527c20ca3af27bc",0,0,3.3333,3.3333,3.3333,3.3333,3.3333,0
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",0,0,3.3335,3.3335,3.3335,3.3335,3.3335,0