ethereum_address,block_21953708,block_22056809,block_22304497,block_22335709,block_22501027,block_22703236,block_22999867,block_23203943,block_23432347,block_24267293
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",3.024,3.224,6.36,0,0,0,0,0,0,0
"0x0000000000000000000000005d388ec24cc2c0c77458338696aa63afb706a7b1",36.912,27.6,13.416,0,0,0,0,0,0,0
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",9.104,9.648,15.88,13.224,17.176,16.536,15.504,15,14.88,17.5127
"0x000000000000000000000000d46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0",30.96,37,42.616,0,0,0,0,0,0,0
"0x00000003004368616443536f6e672f5368696e65427574746f6e000000000000",3.3333,3.3333,3.3333,3.3333,2.2222,2.2222,2.2222,2.2222,2.2222,0
"0x0000000300636f6465636f762f636f6465636f762d616374696f6e0000000000",3.3335,3.3335,3.3335,3.3335,2.2222,2.2222,2.2222,2.2222,2.2222,0
"0x00000003006a69747061636b2f6a69747061636b2e696f000000000000000000",3.3333,3.3333,3.3333,3.3333,2.2222,2.2222,2.2222,2.2222,2.2222,0
"0x00000003010840d19eb62dc89072f46b5c34b323f664aed37a896fbcb232dd83",3.3333,3.3333,3.3333,3.3333,2.2222,2.2222,2.2222,2.2222,2.2222,0
"0x000000030135bbe23016d3f02f32b80a6d4ebf0ef4b77457f8857d5a8b9ff33b",3.3333,3.3333,3.3333,3.3333,2.2222,2.2222,2.2222,2.2222,2.2222,0
"0x0000000301ecae71c125e05714812ad423cfdc739df93da11ea69763843682fb",3.3333,3.3333,3.3333,3.3333,2.2222,2.2222,2.2222,2.2222,2.2222,0
"0x000000000000000000000000647ea721b4e896d1f76062713b2a0b137475bc3d",0,2.528,1.224,0.664,0.512,0.488,0.448,0.432,0.432,0.5076
"0x0000000000000000000000000000000000000000000000000000000000000000",0,0,0.504,0,0,0,0,0,0,0
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,0,0,19.832,17.432,16.536,15.28,14.784,14.6639,17.2589
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,0,0,46.28,44.88,46.44,48.768,49.784,50.024,64.7208
"0x0000000300736f667470726f70732f616374696f6e2d67682d72656c65617365",0,0,0,0,2.2222,2.2222,2.2222,2.2222,2.2222,0
"0x00000003012cfc3618a884cee48b8a48fabde1681c8cc2a01527c20ca3af27bc",0,0,0,0,2.2222,2.2222,2.2222,2.2222,2.2222,0
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",0,0,0,0,2.2224,2.2224,2.2224,2.2224,2.2225,0