ethereum_address,block_22702329,block_23000224,block_23210703,block_23432436,block_24258902,block_24453256
"0x0000000000000000000000000000000000000000000000000000000000000000",16.904,11.76,10.624,10.176,9.68,9.6774
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",20.28,14.12,12.744,12.2,11.61,11.6129
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",15.776,18.04,16.28,15.5919,14.84,14.8387
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",27.04,36.08,40.352,42.032,63.87,0
"0x00000003006a756e69742d7465616d2f6a756e69743400000000000000000000",4,4,4,4.0001,0,0
"0x0000000300736f667470726f70732f616374696f6e2d67682d72656c65617365",4,4,4,4,0,0
"0x00000003010a70956f42017a070c918ccefba8731c211285e34f18e45fa2fae6",4,4,4,4,0,0
"0x00000003012cfc3618a884cee48b8a48fabde1681c8cc2a01527c20ca3af27bc",4,4,4,4,0,0
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",4,4,4,4,0,0
"0x00000000000000000000000029c0b687ee69960966a4ea733cf53cc6ec157ace",0,0,0,0,0,63.871