ethereum_address,block_22056957,block_22338097,block_23216626,block_23433086
"0x0000000000000000000000001d5878059679effa13ec0dc2c894e008307050bc",44.792,0,0,0
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",12.144,0,0,0
"0x00000000000000000000000048ac1399035bcce8c7996d8c60e014b9373b3962",1.432,0,0,0
"0x000000000000000000000000c6ac0d6abd1bbb371db2b3ef7cbc9fc972c700a6",14.336,7.2479,6.9279,6.9039
"0x000000000000000000000000ef836b1b90e42c8c69f3cef628eb10983c10e792",7.2959,0,0,0
"0x000000030070616e6461732d6465762f70616e64617300000000000000000000",9.9,9.9,9.9,9.9
"0x00000003007073662f7265717565737473000000000000000000000000000000",9.9,9.9,9.9003,9.9004
"0x0000000301ecae71c125e05714812ad423cfdc739df93da11ea69763843682fb",0.2001,0.2003,0.2002,0.2002
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,60.3759,60.0717,59.8556
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,12.3759,12.9999,13.2399