ethereum_address,block_20181540,block_21923953,block_22050911,block_22336979,block_22486674,block_22702970,block_22988585,block_23202702,block_23411716
"0x0000000000000000000000000000000000000000000000000000000000000000",1.664,1.4399,1.3839,0.1919,0.1519,0.1519,0.1519,0.1359,0.1359
"0x0000000000000000000000001f1319c79f1496357781691a22b1f37dac9d844f",22.944,18.8479,12.5358,12.1677,10.4317,10.0156,9.3436,9.1676,9.1195
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",0.24,3.6319,7.9039,0,0,0,0,0,0
"0x0000000000000000000000004ef632a33a86fe4170cf90fb5735d5aedf9b7c8d",1.392,1.1439,0.7519,0,0,0,0,0,0
"0x0000000000000000000000005d388ec24cc2c0c77458338696aa63afb706a7b1",39.44,33.8319,22.8797,0,0,0,0,0,0
"0x0000000000000000000000006321286f9b73f427c72e1f9f1bc6b3d25ef06605",1.8239,1.5039,0.9919,1.6559,1.4239,1.3679,1.2719,1.2479,1.2399
"0x000000000000000000000000d46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0",12.496,16.0399,20.2557,0,0,0,0,0,0
"0x0000000300616a6f626572737461722f67726769740000000000000000000000",10,10,9.9999,9.9999,0,0,0,0,0
"0x00000003006a69747061636b2f6a69747061636b2e696f000000000000000000",10.0001,10.0008,10.0016,10.0021,5.0004,0,0,0,0
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",0,3.5599,12.6798,15.1117,16.1275,16.6954,17.9833,17.6392,17.5431
"0x000000000000000000000000647ea721b4e896d1f76062713b2a0b137475bc3d",0,0,0.6159,0.3679,0.3199,0.3039,0.2799,0.2799,0.2799
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,0,0,27.0954,26.0873,25.0472,23.3591,22.919,22.7989
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,0,0,23.4075,25.4553,26.4151,27.6069,28.6067,28.8786
"0x0000000300736f667470726f70732f616374696f6e2d67682d72656c65617365",0,0,0,0,5.0013,6.6674,6.6673,6.6672,6.6672
"0x00000003012cfc3618a884cee48b8a48fabde1681c8cc2a01527c20ca3af27bc",0,0,0,0,5.0004,6.6674,6.6673,6.6672,6.6672
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",0,0,0,0,5.0004,6.6682,6.6688,6.6694,6.6698