ethereum_address,block_22057248,block_22338201,block_23216580,block_23433073,block_24099828,block_24267907
"0x0000000000000000000000000000000000000000000000000000000000000000",2.92,0,0,0,0,0
"0x0000000000000000000000001d5878059679effa13ec0dc2c894e008307050bc",48.088,0,0,0,0,0
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",11.904,0,0,0,0,0
"0x00000000000000000000000078888390aa08d9a25f3bdb8a1b35351d7c7f8a12",8.784,0,0,0,0,0
"0x000000000000000000000000ef836b1b90e42c8c69f3cef628eb10983c10e792",8.304,0,0,0,0,0
"0x00000003004e6f6d6963466f756e646174696f6e2f6861726468617400000000",2.8285,2.8285,2.8285,2.8284,2.8284,0
"0x0000000300547970655374726f6e672f74732d6e6f6465000000000000000000",2.8285,2.8285,2.8285,2.8284,2.8284,0
"0x00000003006d6f74646f746c612f646f74656e76000000000000000000000000",2.8285,2.8285,2.8285,2.8284,2.8284,0
"0x00000003006e65746c6966792f6275696c640000000000000000000000000000",2.829,2.829,2.829,2.8289,2.8289,0
"0x0000000300706f73746373732f706f7374637373000000000000000000000000",2.8285,2.8285,2.8285,2.8284,2.8284,0
"0x00000003007461696c77696e646c6162732f7461696c77696e64637373000000",2.8285,2.8285,2.8285,2.8284,2.8284,0
"0x000000030076657263656c2f6e6578742e6a7300000000000000000000000000",2.8285,2.8285,2.8285,2.8284,2.8283,0
"0x0000000301ecae71c125e05714812ad423cfdc739df93da11ea69763843682fb",0.2,0.2,0.2001,0.2009,0.2011,0
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,18.288,15.4639,15.1039,25.6319,31.117
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,61.712,64.536,64.8959,54.3678,68.883